,negative_word_count,positive_word_count,vander_score,happ_score
1997595.json.html,28.0,32.0,-0.9749,4.617336719883888
1997629.json.html,11.0,8.0,-0.1926,4.453657178217819
1997657.json.html,18.0,10.0,0.9981,4.2742105263157875
1997694.json.html,19.0,27.0,-0.5588,4.472567449956491
1997721.json.html,18.0,30.0,0.946,4.530264345583493
1997737.json.html,32.0,56.0,0.9976,4.516858197153394
1997742.json.html,13.0,19.0,-0.9547,4.551707891637227
1997766.json.html,3.0,4.0,0.8481,3.4179268292682905
1997776.json.html,23.0,22.0,0.9989,4.360264064293912
1997816.json.html,6.0,14.0,0.8018,4.391475903614457
1997823.json.html,32.0,27.0,0.999,4.397290111940297
1997861.json.html,3.0,1.0,0.7242,3.980980392156862
1997946.json.html,46.0,36.0,-0.9726,4.445595675675684
